threshold,precision,recall,f1
0.004508778,0.32903225806451614,1.0,0.49514563106796117
0.0045271423,0.32933579335793356,1.0,0.4954892435808466
0.0045360452,0.3296398891966759,1.0,0.49583333333333335
0.0045370706,0.3299445471349353,1.0,0.4961779013203614
0.004549067,0.33024976873265494,1.0,0.4965229485396384
0.004576405,0.33055555555555555,1.0,0.4968684759916493
0.0045859707,0.33086190917516217,1.0,0.4972144846796657
0.0045888512,0.33116883116883117,1.0,0.4975609756097561
0.004682807,0.33147632311977715,1.0,0.497907949790795
0.0046885824,0.33178438661710036,1.0,0.4982554082344731
0.0046942267,0.33209302325581397,1.0,0.4986033519553073
0.0046995566,0.3324022346368715,1.0,0.4989517819706499
0.004706994,0.33271202236719477,1.0,0.4993006993006993
0.0047180243,0.33302238805970147,1.0,0.4996501049685094
0.0047362433,0.3333333333333333,1.0,0.5
0.0047998726,0.3336448598130841,1.0,0.5003503854239664
0.004802593,0.33395696913002804,1.0,0.5007012622720898
0.0048265415,0.3342696629213483,1.0,0.5010526315789473
0.0048580975,0.3345829428303655,1.0,0.5014044943820225
0.0048609176,0.3348968105065666,1.0,0.5017568517217147
0.0048848423,0.3352112676056338,1.0,0.5021097046413502
0.0048915828,0.3355263157894737,1.0,0.5024630541871921
0.004920787,0.33584195672624645,1.0,0.5028169014084507
0.004925513,0.3361581920903955,1.0,0.5031712473572939
0.004942868,0.3364750235626767,1.0,0.5035260930888575
0.0049576727,0.33679245283018866,1.0,0.5038814396612562
0.0049811048,0.3371104815864023,1.0,0.5042372881355932
0.0049829576,0.33742911153119093,1.0,0.5045936395759717
0.004983232,0.33774834437086093,1.0,0.504950495049505
0.0050447704,0.3380681818181818,1.0,0.505307855626327
0.00506196,0.33838862559241706,1.0,0.5056657223796034
0.005119127,0.3387096774193548,1.0,0.5060240963855421
0.005159846,0.33903133903133903,1.0,0.5063829787234042
0.0051687877,0.33935361216730037,1.0,0.5067423704755145
0.0052393707,0.3396764985727878,1.0,0.5071022727272727
0.0053049587,0.34,1.0,0.5074626865671642
0.0053261467,0.340324118207817,1.0,0.507823613086771
0.005345862,0.34064885496183206,1.0,0.5081850533807829
0.005368422,0.34097421203438394,1.0,0.5085470085470085
0.005376366,0.34130019120458893,1.0,0.5089094796863863
0.005388492,0.3416267942583732,1.0,0.5092724679029957
0.00538967,0.34195402298850575,1.0,0.5096359743040686
0.005419189,0.3422818791946309,1.0,0.51
0.0054367166,0.34261036468330136,1.0,0.5103645461043602
0.005456063,0.34293948126801155,1.0,0.5107296137339056
0.0054769884,0.34326923076923077,1.0,0.5110952040085899
0.005479415,0.343599615014437,1.0,0.511461318051576
0.005481104,0.3439306358381503,1.0,0.5118279569892473
0.005482625,0.3442622950819672,1.0,0.5121951219512195
0.0055156574,0.34459459459459457,1.0,0.5125628140703518
0.0055536553,0.34492753623188405,1.0,0.5129310344827587
0.0055699856,0.3452611218568665,1.0,0.5132997843278216
0.005580047,0.345595353339787,1.0,0.5136690647482014
0.005636181,0.34593023255813954,1.0,0.5140388768898488
0.0056447852,0.34626576139670223,1.0,0.5144092219020173
0.0056756716,0.3466019417475728,1.0,0.5147801009372747
0.0056772977,0.3469387755102041,1.0,0.5151515151515151
0.005727183,0.3472762645914397,1.0,0.5155234657039711
0.0057348153,0.3476144109055501,1.0,0.5158959537572254
0.0057860455,0.347953216374269,1.0,0.5162689804772234
0.0058098896,0.34829268292682924,1.0,0.5166425470332852
